timestamp,query_type,api_type,repository_owner,repository_name,response_time_ms,response_size_bytes,success,error
2025-11-25T17:15:09.424262,complex,graphql,facebook,react,772.3113999818452,3158,True,
2025-11-25T17:15:10.297457,complex,graphql,facebook,react,764.3573000095785,3158,True,
2025-11-25T17:15:11.162903,complex,graphql,facebook,react,761.7068000254221,3157,True,
2025-11-25T17:15:12.025947,complex,graphql,facebook,react,663.1849999539554,3158,True,
2025-11-25T17:15:12.790061,complex,graphql,facebook,react,1561.20270001702,3158,True,
2025-11-25T17:15:14.452273,complex,graphql,facebook,react,644.3028000066988,3158,True,
2025-11-25T17:15:15.197833,complex,graphql,facebook,react,878.3571000094526,3158,True,
2025-11-25T17:15:16.177614,complex,graphql,facebook,react,683.668999990914,3157,True,
2025-11-25T17:15:16.962486,complex,graphql,facebook,react,655.4628000012599,3158,True,
2025-11-25T17:15:17.719094,complex,graphql,facebook,react,654.1656999615952,3157,True,
2025-11-25T17:15:18.475051,complex,graphql,facebook,react,1530.9234000160359,3157,True,
2025-11-25T17:15:20.107823,complex,graphql,facebook,react,657.6609000330791,3158,True,
2025-11-25T17:15:20.866842,complex,graphql,facebook,react,631.2229000031948,3158,True,
2025-11-25T17:15:21.599422,complex,graphql,facebook,react,713.2131000398658,3158,True,
2025-11-25T17:15:22.413636,complex,graphql,facebook,react,632.5702000176534,3158,True,
2025-11-25T17:15:23.147496,complex,graphql,facebook,react,679.5120000024326,3158,True,
2025-11-25T17:15:23.927837,complex,graphql,facebook,react,720.2554999967106,3158,True,
2025-11-25T17:15:24.749018,complex,graphql,facebook,react,661.7320000077598,3158,True,
2025-11-25T17:15:25.511743,complex,graphql,facebook,react,614.0400999574922,3158,True,
2025-11-25T17:15:26.227237,complex,graphql,facebook,react,746.8905000132509,3157,True,
2025-11-25T17:15:27.075321,complex,graphql,facebook,react,647.3820999963209,3158,True,
2025-11-25T17:15:27.823776,complex,graphql,facebook,react,1630.818800011184,3158,True,
2025-11-25T17:15:29.556470,complex,graphql,facebook,react,679.5913000241853,3158,True,
2025-11-25T17:15:30.337055,complex,graphql,facebook,react,713.3438999881037,3157,True,
2025-11-25T17:15:31.151702,complex,graphql,facebook,react,691.0241000005044,3158,True,
2025-11-25T17:15:31.944012,complex,graphql,facebook,react,645.1558999833651,3158,True,
2025-11-25T17:15:32.690707,complex,graphql,facebook,react,777.5908000185154,3158,True,
2025-11-25T17:15:33.569165,complex,graphql,facebook,react,645.2698000357486,3158,True,
2025-11-25T17:15:34.315443,complex,graphql,facebook,react,673.7010999931954,3158,True,
2025-11-25T17:15:35.090488,complex,graphql,facebook,react,980.8674000087194,3158,True,
2025-11-25T17:15:36.172257,multiple,graphql,facebook,react,637.1446000412107,1795,True,
2025-11-25T17:15:36.910343,multiple,graphql,facebook,react,688.924300018698,1795,True,
2025-11-25T17:15:37.700498,multiple,graphql,facebook,react,666.5135000366718,1795,True,
2025-11-25T17:15:38.468107,multiple,graphql,facebook,react,767.673599999398,1795,True,
2025-11-25T17:15:39.336672,multiple,graphql,facebook,react,729.328399989754,1795,True,
2025-11-25T17:15:40.167555,multiple,graphql,facebook,react,614.1677999985404,1795,True,
2025-11-25T17:15:40.882928,multiple,graphql,facebook,react,601.0458000237122,1795,True,
2025-11-25T17:15:41.585033,multiple,graphql,facebook,react,606.7875999724492,1795,True,
2025-11-25T17:15:42.292707,multiple,graphql,facebook,react,703.4893999807537,1795,True,
2025-11-25T17:15:43.097088,multiple,graphql,facebook,react,725.9727999917232,1795,True,
2025-11-25T17:15:43.924176,multiple,graphql,facebook,react,623.3818000182509,1795,True,
2025-11-25T17:15:44.648757,multiple,graphql,facebook,react,866.479900025297,1794,True,
2025-11-25T17:15:45.616524,multiple,graphql,facebook,react,684.3311000266112,1795,True,
2025-11-25T17:15:46.401712,multiple,graphql,facebook,react,673.5412999987602,1795,True,
2025-11-25T17:15:47.176493,multiple,graphql,facebook,react,627.465600031428,1795,True,
2025-11-25T17:15:47.905290,multiple,graphql,facebook,react,654.5602999976836,1795,True,
2025-11-25T17:15:48.660933,multiple,graphql,facebook,react,754.4885000097565,1794,True,
2025-11-25T17:15:49.516831,multiple,graphql,facebook,react,714.3547000014223,1795,True,
2025-11-25T17:15:50.332298,multiple,graphql,facebook,react,737.3144000303,1795,True,
2025-11-25T17:15:51.170933,multiple,graphql,facebook,react,618.2136999559589,1795,True,
2025-11-25T17:15:51.890592,multiple,graphql,facebook,react,628.7439999869093,1795,True,
2025-11-25T17:15:52.620526,multiple,graphql,facebook,react,717.5617999746464,1795,True,
2025-11-25T17:15:53.439415,multiple,graphql,facebook,react,678.5564000019804,1795,True,
2025-11-25T17:15:54.218863,multiple,graphql,facebook,react,742.0298000215553,1795,True,
2025-11-25T17:15:55.061656,multiple,graphql,facebook,react,733.162899967283,1795,True,
2025-11-25T17:15:55.895744,multiple,graphql,facebook,react,766.4688999648206,1795,True,
2025-11-25T17:15:56.763225,multiple,graphql,facebook,react,778.6515000043437,1795,True,
2025-11-25T17:15:57.642912,multiple,graphql,facebook,react,609.2039000359364,1795,True,
2025-11-25T17:15:58.352990,multiple,graphql,facebook,react,628.2160999835469,1794,True,
2025-11-25T17:15:59.082633,multiple,graphql,facebook,react,622.7577000390738,1795,True,
